task,run,ablation,rmse,time,formula
chaotic,0,no_suppression,0.07088095407767567,14.287246942520142,"sin((x * (x + -0.00)))"
chaotic,1,no_suppression,0.06752161293289329,11.735204935073853,"sin((x * (sin((-0.02 * -0.36)) + x)))"
chaotic,2,no_suppression,0.8847549252381374,0.530879020690918,"sin(((x * x) + -11.34)) [WARNING: Discontinuity Detected - Approximation Only]"
chaotic,3,no_suppression,1.2801434762838213,12.090360879898071,"sin((x * (cos(9.42) + x)))"
chaotic,4,no_suppression,0.0916438359242134,0.5436491966247559,"sin((3.15 - (x * x))) [WARNING: Discontinuity Detected - Approximation Only]"
chaotic,5,no_suppression,0.597337032238133,14.199075698852539,"sin((sin((x * x)) * -0.01))"
chaotic,6,no_suppression,0.06405650948944405,0.4835376739501953,"sin((x * x)) [WARNING: Discontinuity Detected - Approximation Only]"
chaotic,7,no_suppression,0.5683050693468443,12.154115438461304,"sin((2.06 * (x * x)))"
chaotic,8,no_suppression,1.1536378467655881,0.3821687698364258,"tanh(abs(sin(hypot((x * x), -8.24)))) [WARNING: Discontinuity Detected - Approximation Only]"
chaotic,9,no_suppression,0.7017681947565716,0.5155444145202637,"sin((x * (x * 0.00))) [WARNING: Discontinuity Detected - Approximation Only]"
harmonic,0,no_attention,2.0577060845916835,0.7480044364929199,"sin((hypot(x, (6.72 - sin(hypot(-7.76, ((3.87 + x) + hypot(x, 1.66)))))) + (x - hypot(x, (abs(x) * cos(x)))))) [WARNING: Discontinuity Detected - Approximation Only]"
harmonic,1,no_attention,0.8290745677662731,2.1273036003112793,"sin(hypot((x - (4.51 - 3.68)), (x + -6.02))) [Suppressed Noise]"
harmonic,2,no_attention,0.8465933002204845,0.6730763912200928,"cos(((x - -60.65) + ((sin(((x - -8.35) - sin(-6.42))) + x) - x))) [WARNING: Discontinuity Detected - Approximation Only]"
harmonic,3,no_attention,1.0412841405350575,0.45163893699645996,"sin((x - hypot(abs(-5.85), x))) [WARNING: Discontinuity Detected - Approximation Only]"
harmonic,4,no_attention,1.8649081832269596,0.4683544635772705,"sin((hypot(x, ((3.50 + x) - x)) - (-5.76 + x)))"
harmonic,5,no_attention,2.008999722099414,0.5139808654785156,"sin(hypot(((hypot(8.01, x) - (x + 6.16)) + 7.06), x)) [WARNING: Discontinuity Detected - Approximation Only]"
harmonic,6,no_attention,0.9424906252376711,0.5450108051300049,"sin((x - (hypot(-0.00, ((0.25 * ((x * 4.38) - (x + x))) + hypot(tanh(0.53), x))) - -11.06))) [WARNING: Discontinuity Detected - Approximation Only]"
harmonic,7,no_attention,0.8477851583890299,0.4658536911010742,"sin(sin(((-3.89 + (hypot(x, (x + x)) * cos(-7.75))) - x)))"
harmonic,8,no_attention,2.3461013836896996,1.851391077041626,"sin(((tanh(x) + 0.78) + sin(x))) [WARNING: Discontinuity Detected - Approximation Only] [Suppressed Noise]"
harmonic,9,no_attention,1.0133900500621804,0.6156919002532959,"sin(hypot((x - hypot(x, -8.86)), hypot((hypot(x, x) + x), sin((-13.52 + x)))))"
